LFCSQ,"LEY Federal para el Control de Precursores Químicos, Productos Químicos Esenciales y Máquinas para Elaborar Cápsulas, Tabletas y/o Comprimidos"
127,LEY  Federal para el Control de Sustancias Químicas Susceptibles de Desvío para la Fabricación de Armas Químicas
251,LEY Federal para el Fomento de la Microindustria y la Actividad Artesanal
LFPIORPI,LEY Federal para la Administración y Enajenación de Bienes del Sector Público
LFPPIPP_170616,LEY Federal para la Prevención e Identificación de Operaciones con Recursos de Procedencia Ilícita
262_011216,LEY Federal para la Protección a Personas que Intervienen en el Procedimiento Penal
129,LEY Federal para Prevenir y Eliminar la Discriminación
LFPSDMH,LEY Federal para Prevenir y Sancionar la Tortura
130_181215,LEY Federal para Prevenir y Sancionar los Delitos Cometidos en Materia de Hidrocarburos
131_280115,LEY Federal Sobre Metrología y Normalización
LGAMVLV_171215,"LEY Federal Sobre Monumentos y Zonas Arqueológicos, Artísticos e Históricos"
LGAHOTDU_281116,LEY General de Acceso de las Mujeres a una Vida Libre de Violencia
134_171215,"LEY General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano"
267_010616,LEY General de Bibliotecas
LGCC_010616,LEY General de Bienes Nacionales
LGCG_180716,LEY General de Cambio Climático
LGCFD_250117,LEY General de Contabilidad Gubernamental
257_171215,LEY General de Cultura Física y Deporte
259_240117,LEY General de Derechos Lingüísticos de los Pueblos Indígenas
264_010616,LEY General de Desarrollo Forestal Sustentable
137_010616,LEY General de Desarrollo Social
LGIPE_270117,LEY General de Educación
LGIFE,LEY General de Instituciones y Procedimientos Electorales
LGDNNA_041214,LEY General de la Infraestructura Física Educativa
139,"LEY General de los Derechos de Niñas, Niños y Adolescentes"
LGPP_130815,LEY General de Organizaciones y Actividades Auxiliares del Crédito
LGPAS_040615,LEY General de Partidos Políticos
140_011215,LEY General de Pesca y Acuacultura Sustentables
LGPSACDII_070416,LEY General de Población
LGPC_030614,"LEY General de Prestación de Servicios para la Atención, Cuidado y Desarrollo Integral Infantil"
LGPDPPSO,LEY General de Protección Civil
LGRA,LEY General de Protección de Datos Personales en Posesión de Sujetos Obligados
142_270117,LEY General de Responsabilidades Administrativas
143,LEY General de Salud
144_140316,LEY General de Sociedades Cooperativas
145_130614,LEY General de Sociedades Mercantiles
LGTAIP,LEY General de Títulos y Operaciones de Crédito
LGT_171215,LEY General de Transparencia y Acceso a la Información Pública
LGV_030117,LEY  General de Turismo
146_191216,LEY General de Víctimas
148_240117,LEY General de Vida Silvestre
LGSPD,LEY General del Equilibrio Ecológico y la Protección al Ambiente
149,LEY General del Servicio Profesional Docente
LGSNA,LEY General del Sistema de Medios de Impugnación en Materia Electoral
LGSNSP_170616,LEY General del Sistema Nacional Anticorrupción
LGMDE_270614,LEY General del Sistema Nacional de Seguridad Pública
LGCT,LEY  General en Materia de Delitos Electorales
LGAPPCEA_270516,LEY  General para el Control del Tabaco
LGIMH_240316,LEY General para la Atención y Protección a Personas con la Condición del Espectro Autista
LGIPD_171215,LEY General para la Igualdad entre Mujeres y Hombres
LGPSVD,LEY General para la Inclusión de las Personas con Discapacidad
263_220515,LEY  General para la Prevención Social de la Violencia y la Delincuencia
LGPSEDMTP,LEY General para la Prevención y Gestión Integral de los Residuos
LGPSDMS_170616,"LEY  General para Prevenir, Sancionar y Erradicar los Delitos en Materia de Trata de Personas y para la Protección y Asistencia a las Víctimas de estos Delitos"
151_110814,"LEY  General para Prevenir y Sancionar los Delitos en Materia de Secuestro, Reglamentaria de la fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos"
152,LEY Minera
LNEP,LEY Monetaria de los Estados Unidos Mexicanos
LNMASCMP_291214,LEY Nacional de Ejecución Penal
LNSIJPA,LEY Nacional de Mecanismos Alternativos de Solución de Controversias en Materia Penal
153_191216,LEY Nacional del Sistema Integral de Justicia Penal para Adolescentes
249,LEY Orgánica de la Administración Pública Federal
248,LEY Orgánica de la Armada de México
155,"LEY Orgánica de la Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero"
LOPDC,LEY Orgánica de la Lotería Nacional para la Asistencia Pública
LOPGJDF,LEY Orgánica de la Procuraduría de la Defensa del Contribuyente
LOPGR_180716,LEY  Orgánica de la Procuraduría General de Justicia del Distrito Federal
LOUAAAN,LEY Orgánica de la Procuraduría General de la República
157,LEY Orgánica de la Universidad Autónoma Agraria Antonio Narro
158,LEY Orgánica de la Universidad Autónoma Metropolitana
159,LEY Orgánica de la Universidad Nacional Autónoma de México
162,LEY Orgánica de los Tribunales Agrarios
234,LEY Orgánica de Nacional Financiera
164,LEY Orgánica de Sociedad Hipotecaria Federal
165,LEY Orgánica del Banco del Ahorro Nacional y Servicios Financieros
166,LEY Orgánica del Banco Nacional de Comercio Exterior
167,LEY Orgánica del Banco Nacional de Obras y Servicios Públicos
168_270117,"LEY Orgánica del Banco Nacional del Ejército, Fuerza Aérea y Armada"
243,LEY Orgánica del Congreso General de los Estados Unidos Mexicanos
169_061114,LEY Orgánica del Consejo Nacional de Ciencia y Tecnología
170_171215,LEY Orgánica del Ejército y Fuerza Aérea Mexicanos
